kind	outcome	path_length	count	total	rate	statistic	value	pvalue	note
path_length	correct	1	29	116	0.250000				non-null evidence path
path_length	correct	2	58	116	0.500000				non-null evidence path
path_length	correct	3	11	116	0.094828				non-null evidence path
path_length	correct	4	2	116	0.017241				non-null evidence path
path_length	correct	null	16	116	0.137931				no evidence path
path_length	wrong	1	34	204	0.166667				non-null evidence path
path_length	wrong	2	63	204	0.308824				non-null evidence path
path_length	wrong	3	11	204	0.053922				non-null evidence path
path_length	wrong	4	0	204	0.000000				non-null evidence path
path_length	wrong	null	96	204	0.470588				no evidence path
summary	correct	non_null	100	116	0.862069				any evidence path
summary	correct	null	16	116	0.137931				no evidence path
summary	wrong	non_null	108	204	0.529412				any evidence path
summary	wrong	null	96	204	0.470588				no evidence path
test	non_null_vs_null		320			pearson_chi2	35.970845	2.002922e-09	table [[correct_non_null=100, correct_null=16], [wrong_non_null=108, wrong_null=96]]
test	non_null_vs_null		320			fisher_odds_ratio	5.555556	6.390323e-10	table [[correct_non_null=100, correct_null=16], [wrong_non_null=108, wrong_null=96]]
